artist,song,genre,subgenre,year,beats,tempo,mfcc,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,chroma_stft,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_10,rmse_11,rmse_12,rmse_13,rmse_14,rmse_15,rmse_16,rmse_17,rmse_18,rmse_19,rmse_20,file
Reincidentes,Vicio,Rock,Rock en Español,1994,287,[103.359375],7.41405725479126,0.0692046118390134,5458.417373144103,2782.4441679751344,2958.482364601678,0.55621856,0.000000,0.000002,0.000373,0.000853,0.002329,0.006057,0.009888,0.011053,0.015770,0.026717,0.036311,0.048378,0.056530,0.060987,0.061626,0.058362,0.055913,0.052699,0.052933,0.052752,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Rock en Español/Reincidentes_Vicio_Rock_Rock_en Español_1994.mp3
Dj Napo,El ritmo ms,Electronica,Techno,1999,918,[143.5546875],1.3505985736846924,0.0732296285132752,6491.287354882934,3195.2629952504885,3304.6450009302253,0.5886106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Dj-Napo_El-ritmo-ms_Electronica_Techno_1999.mp3
Abel The Kid y Raul Ortiz,Electrication,Electronica,Techno,2002,918,[139.67483108],0.3316147923469543,0.0669773579854619,7425.992813108222,3544.000786119461,3680.9235105418056,0.6799916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000261,0.000298,0.000304,0.000347,0.000304,0.000385,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Abel-The-Kid-y-Raul-Ortiz_Electrication_Electronica_Techno_2002.mp3
Abel the Kid y Raul Ortiz,Baila,Electronica,Techno,2004,961,[139.67483108],5.47695779800415,0.0263010576835632,5245.070596038419,2266.3186736286,3048.29224553578,0.6775567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004922,0.031408,0.046066,0.112812,0.116601,0.144684,0.162619,0.179323,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Abel-the-Kid-y-Raul-Ortiz_Baila_Electronica_Techno_2004.mp3
Alex Trackone y Dj Napo,La nube,Electronica,Techno,2000,1111,[139.67483108],4.739414215087891,0.041777207971008,5284.012634002705,2370.754805404596,2871.841016318141,0.6231673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000138,0.003364,0.014328,0.038531,0.052192,0.053312,0.055055,0.060161,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Alex-Trackone-y-Dj-Napo_La-nube_Electronica_Techno_2000.mp3
Alex Trackone,Genetiko,Electronica,Techno,2006,865,[139.67483108],6.518306255340576,0.1165835569881208,8934.48524959634,4454.064875530782,3817.410617274592,0.701299,0.000000,0.000000,0.000000,0.000000,0.000000,0.000103,0.137479,0.193366,0.274702,0.304478,0.281043,0.269073,0.197353,0.155422,0.143015,0.098545,0.081968,0.075137,0.069169,0.069072,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Alex-Trackone_Genetiko_Electronica_Techno_2006.mp3
Alex Trackone ala Lawrence Lock,Technobase,Electronica,Techno,2004,1019,[139.67483108],4.382026672363281,0.0844967630933616,8562.778671292874,3962.8271937909913,3903.017463711481,0.6683287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000044,0.000198,0.048391,0.107925,0.123362,0.138120,0.153913,0.145390,0.187647,0.245883,0.248164,0.249019,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Alex-Trackone-ala-Lawrence-Lock_Technobase_Electronica_Techno_2004.mp3
Ben Sims,Remanipulator,Electronica,Techno,1998,640,[135.99917763],6.911355972290039,0.0810462532891501,6067.773654599277,3059.114215324661,2943.9187821613177,0.68922716,0.000000,0.000009,0.005251,0.005456,0.013243,0.021924,0.032789,0.035879,0.034283,0.031829,0.028238,0.032357,0.032761,0.031286,0.027603,0.020439,0.020746,0.021777,0.018557,0.031789,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Ben-Sims_Remanipulator_Electronica_Techno_1998.mp3
Cisco Ferreira aka The Advent,Kurva,Electronica,Techno,2005,800,[139.67483108],8.645256042480469,0.0602463421689878,8029.235487342105,3470.926014628333,3907.2390878384767,0.5890338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Cisco-Ferreira-aka-The-Advent_Kurva_Electronica_Techno_2005.mp3
Danili Di Corto,Time of passion,Electronica,Techno,2007,954,[143.5546875],5.153558731079102,0.055063832003451,7533.821512709798,3244.270764274474,3841.6335653635033,0.6586342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Danili-Di-Corto_Time-of-passion_Electronica_Techno_2007.mp3
David Marshall,Embola,Electronica,Techno,2005,829,[143.5546875],0.8435987830162048,0.0695694331385739,8115.878565352178,3688.422144413276,3792.56211396676,0.6707811,0.000000,0.000000,0.000007,0.000031,0.001190,0.001747,0.001856,0.002650,0.003037,0.002860,0.003681,0.003621,0.003136,0.020673,0.046654,0.061544,0.073641,0.082508,0.080700,0.079023,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/David-Marshall_Embola_Electronica_Techno_2005.mp3
Digital Express,The Club,Electronica,Techno,2004,1051,[135.99917763],5.984379291534424,0.050445739036189,5314.82473605712,2563.089640494559,2901.194865094596,0.55842334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Digital-Express_The-Club_Electronica_Techno_2004.mp3
Digital Express y Michel de Hey,The club remix,Electronica,Techno,2002,863,[132.51201923],6.99404239654541,0.0595256387577158,6251.34952521506,3023.4291019622387,3034.9189956376867,0.6097839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000510,0.020902,0.020938,0.021025,0.162472,0.203012,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Digital-Express-y-Michel-de-Hey_The-club-remix_Electronica_Techno_2002.mp3
Dj Gilbert,Dulux,Electronica,Techno,2000,897,[139.67483108],2.166711568832397,0.0979396888716166,7856.524786256401,3869.440316431382,3583.633043138326,0.5953344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000032,0.044383,0.089182,0.107548,0.120817,0.122013,0.105338,0.103135,0.097084,0.098112,0.099921,0.098594,0.104407,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Dj Gilbert_Dulux_Electronica_Techno_2000.mp3
