artist,song,genre,subgenre,year
Alice Deejay,Better Off Alone,Electronica,Dance,2000
Calvin Harris y Ellie Goulding,Miracle,Electronica,Dance,2023
David Guetta y Anne,Baby Don’t Hurt Me,Electronica,Dance,2023
Edward Maya & Vika Jigulina,Stereo Love,Electronica,Dance,2009
Erika,I Don't Know,Electronica,Dance,2004
Flo Rida,Club Can't Handle Me,Electronica,Dance,2010
Gigi D'agostino,L'amour toujour,Electronica,Dance,2001
Lasgo,I Wonder,Electronica,Dance,2001
Lasgo,Something,Electronica,Dance,2001
Rimini Project,Sounds Good,Electronica,Dance,2001
Sash! feat Tina Cousins,Mysterious Times,Electronica,Dance,2012
Snap!,Rhythm is a Dancer,Electronica,Dance,1992
Sylver,Skin,Electronica,Dance,2001
Sylver,Skin,Electronica,Dance,2024
Sylver,Turn the tide,Electronica,Dance,2001
Yolanda Be Cool & DCUP,We No Speak Americano,Electronica,Dance,2010
Grauzone,Eisbaer,Rock,New Wave,1980
Human Tetris,Things I don't need,Rock,New Wave,2010
Las Eras,Virginia,Rock,New Wave,2024
Lebanon Hanover,Gallowdance,Rock,New Wave,2013
Linea Aspera,Malarone,Rock,New Wave,2012
Pleasure Symbols,Control,Rock,New Wave,2016
Psyche,Goodbye Horses,Rock,New Wave,1996
Rue Oberkampf,Hope and Fear,Rock,New Wave,2022
Sad lovers and Giants,Things we never did,Rock,New Wave,1982
Ultra Sun,Distress,Rock,New Wave,2024
Boy Harsher,Machina,Rock,New Wave,2022
Killing Joke,Love Like Blood ,Rock,Dark Wave,1985
VVV Trippin You,Nunca Estuvimos Tan Lejos,Rock,New Wave,2019
Silent EM,Wraith, Rock,New Wave,2013
VVV Trippin You,Amianto,Rock,New Wave,2021
VVV Trippin You,Invierno nuclear,Rock,New Wave,2020
VVV Trippin You,Lluvias de Marzo,Rock,New Wave,2021
VVV Trippin You,Matar el Tiempo,Rock,New Wave,2021
VVV Trippin You,Monstruo,Rock,New Wave,2021
Zanias,Unraveled,Rock,New Wave,2021
Zanias,Follow the Body,Rock,New Wave,2016
Abel Ramos,Das spiegel,Electronica,Remember,1999
Allegro,Moments In Love,Electronica,Remember,1999
Aquagen,Everybody Is Free,Electronica,Remember,2004
Butcher,Don't let the Sun go down,Electronica,Remember,2003
C Base ,In The Beginning,Electronica,Remember,2003
Dave 202,Baracuda,Electronica,Remember,2001
David,Max Apology,Electronica,Remember,2000
Dj Crivi,Mankell (Gaupasa Version),Electronica,Remember,2001
Dj Rai,A Hidde Place,Electronica,Remember,2001
Dj Liberty,Seguro,Electronica,Remember,2004
Jesus Elices,Maximizing the Audience,Electronica,Remember,2001
Espada y Vidar,Sienteme,Electronica,Remember,2004
Fiocco,Afflitto,Electronica,Remember,1997
4 Non Blondes,What's Up,Rock,Rock Baladas,1993
Aerosmith,Amazing,Rock,Rock Baladas,1993
Aerosmith,I Don't Want to Miss a Thing,Rock,Rock Baladas,1998
Air Supply,Making Love Out Of Nothing At All,Rock,Rock Baladas,1983
Alias,More Than Words Can Say,Rock,Rock Baladas,1990
Berlin,Take My Breath Away,Rock,Rock Baladas,1986
Bon Jovi,I'll Be There For You,Rock,Rock Baladas,1988
Boston,Amanda,Rock,Rock Baladas,1986
Bryan Adams,Heaven,Rock,Rock Baladas,1984
Captain and Tennille,Do that to me one more time,Rock,Rock Baladas,1979
Crowded House,Weather With You,Rock,Rock Baladas,1992
Deep Purple,Child in Time,Rock,Rock Baladas,1968
Europe,Carrie,Rock,Rock Baladas,1986
Paul Young,Every time go you away,Rock,Rock Baladas,1985
Extreme,More Than Words,Rock,Rock Baladas,1990
F.R David,Words,Rock,Rock Baladas,1982
Firehouse,When I Look Into Your Eyes,Rock,Rock Baladas,1992
Gary Moore,Empty Rooms,Rock,Rock Baladas,1984
Guns N' Roses,Don't Cry,Rock,Rock Baladas,1991
Heart,Alone,Rock,Rock Baladas,1987
Iron Maiden,Wasting love,Rock,Rock Baladas,1986
Kansas,Dust in the Wind,Rock,Rock Baladas,1977
Phil Collins,Another Day In Paradise,Rock,Rock Baladas,1989
Richard Marx,Right Here Waiting,Rock,Rock Baladas,1989
Roxette,It Must Have Been Love,Rock,Rock Baladas,1987
Scorpions,Send Me An Angel,Rock,Rock Baladas,1990
Scorpions,Still Loving You,Rock,Rock Baladas,1984
Scorpions,Wind Of Change,Rock,Rock Baladas,1991
Steelheart,She's Gone,Rock,Rock Baladas,1990
Tears For Fears,Sowing The Seeds Of Love,Rock,Rock Baladas,1989
The Cars,Drive ,Rock,Rock Baladas,1984
Toto,I Won't Hold You Back,Rock,Rock Baladas,1982
Sheriff,When I'm with you,Rock,Rock Baladas,1982
Whitney Houston,I Will Always Love You,Rock,Rock Baladas,1992
Williams Brothers,Can't Cry Hard Enough,Rock,Rock Baladas,1992
Eric Clapton,Wonderful tonight,Rock,Rock Baladas,1977
Albertucho y Kutxi Romero,Mi estrella,Rock,Rock en Español,2004
El Último Ke Zierre,Tus Bragas,Rock,Rock en Español,2003
Eskorbuto,Historia Triste,Rock,Rock en Español,1986
Eskorbuto,"Mucha policía, poca diversión",Rock,Rock en Español,1983
Héroes del Silencio,La chispa adecuada,Rock,Rock en Español,2003
Mago de Oz,La Costa Del Silencio,Rock,Rock en Español,2003
Lobo,Hombre en París,Rock,Rock en Español,1984
Loquillo,La mataré,Rock,Rock en Español,1987
Los Enemigos,John Wayne,Rock,Rock en Español,1988
Los Rodríguez,Sin documentos,Rock,Rock en Español,1993
Mago de Oz,La posada de los muertos,Rock,Rock en Español,2005
Rosendo,Maneras de vivir,Rock,Rock en Español,2004
Rosendo,Masculino singular,Rock,Rock en Español,2002
Parálisis Permanente,Autosuficiencia,Rock,Rock en Español,1984
Piperrak,Kualkier dia,Rock,Rock en Español,1994
Platero y Tu,El roce de tu cuerpo,Rock,Rock en Español,1996
Porretas,Marihuana,Rock,Rock en Español,1997
Seguridad Social,Acción,Rock,Rock en Español,1990
Soda Stereo,De Música Ligera,Rock,Rock en Español,1990
Triana,Quiero contarte,Rock,Rock en Español,1979
Reincidentes,Vicio,Rock,Rock en Español,1994
Dj Napo,El ritmo ms,Electronica,Techno,1999
Abel The Kid y Raul Ortiz,Electrication,Electronica,Techno,2002
Abel the Kid y Raul Ortiz,Baila,Electronica,Techno,2004
Alex Trackone y Dj Napo,La nube,Electronica,Techno,2000
Alex Trackone,Genetiko,Electronica,Techno,2006
Alex Trackone ala Lawrence Lock,Technobase,Electronica,Techno,2004
Ben Sims,Remanipulator,Electronica,Techno,1998
Cisco Ferreira aka The Advent,Kurva,Electronica,Techno,2005
Danili Di Corto,Time of passion,Electronica,Techno,2007
David Marshall,Embola,Electronica,Techno,2005
Digital Express,The Club,Electronica,Techno,2004
Digital Express y Michel de Hey,The club remix,Electronica,Techno,2002
Dj Gilbert,Dulux,Electronica,Techno,2000
Filterheadz,Yimanya,Electronica,Techno,2005
Jeff Mills,The Bells,Electronica,Techno,1996
Jeff Mills & Dj Rolando,Jaguar remix,Electronica,Techno,2002
Julio Posadas,Indhu,Electronica,Techno,2022
Lithium,Deep jungle,Electronica,Techno,2002
Mackenzie Feat. Jessy,Arpegia (Without You),Electronica,Techno,1998
Mauro Picotto,Bangkok,Electronica,Techno,2005
Max Walder & Manu Kenton,Bongo Spirit,Electronica,Techno,2007
Mojado,Fuerte,Electronica,Techno,2007
Plastikman,Spastik,Electronica,Techno,1993
Randy Katana,Fancy Fair,Electronica,Techno,2009
Substate,Horizon,Electronica,Techno,2005
Surgeon,La Real,Electronica,Techno,2000
Taksi,Schneesturm,Electronica,Techno,2001
Tekken,Tribal Pursuit,Electronica,Techno,2001
The Advent,Inn Balance (Cozmic Spore Remix),Electronica,Techno,2003
The Roc Project feat. Tina Arena,Never Filterheadz remix,Electronica,Techno,2004
Thomas Krome,Bitches From Hell,Electronica,Techno,2003
Tim Xavier,Theater Of Sound,Electronica,Techno,2003
Titanium,Dukun (Marco Bailey Remix),Electronica,Techno,2003
Oscar Mulero,Anaconda,Electronica,Techno,2005
Tom Hafman vs submission,El vacio mix,Electronica,Techno,2003
Tomaz vs Filterheadz,Lazy people,Electronica,Techno,2002
Tomaz vs Filterheadz,Sunshine,Electronica,Techno,2002
Umek,Soludeks,Electronica,Techno,2000
