beats,tempo,mfcc,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,chroma_stft,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_10,rmse_11,rmse_12,rmse_13,rmse_14,rmse_15,rmse_16,rmse_17,rmse_18,rmse_19,rmse_20,file
381,[135.99917763],3.4030802249908447,0.10178991555930433,9249.568195394879,4350.674714671837,4103.266703680121,0.46433225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Alice Deejay_Better Off Alone_Electronica_Dance_2000.mp3
433,[143.5546875],4.800572872161865,0.0615582032474146,6829.635626811736,3083.965694346719,3522.0630405167644,0.45103738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0739681e-14,4.070067e-12,1.901642e-07,1.4258833e-05,0.006128905,0.068055145,0.16480644,0.21269843,0.24585794,0.26138806,0.24150927,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Calvin Harris y Ellie Goulding_Miracle_Electronica_Dance_2023.mp3
351,[129.19921875],8.427510261535645,0.05914588876935221,6718.444180172896,2997.476857011518,3285.6726824402976,0.47865146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.987719e-15,7.480559e-05,0.03187384,0.13298678,0.22064228,0.30073288,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/David Guetta y Anne_Baby Don’t Hurt Me_Electronica_Dance_2023.mp3
382,[126.04801829],4.400158405303955,0.07017048210128721,7335.060037999818,3307.0371923024036,3484.2362688522776,0.44020632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Edward Maya & Vika Jigulina_Stereo Love_Electronica_Dance_2009.mp3
412,[129.19921875],6.315406799316406,0.03904463287864882,6101.4788136416455,2644.8649956930826,3517.9029266447887,0.5307436,0.0,0.0,0.0,0.0,5.2865634e-10,0.00021758841,0.00031920726,0.00065973244,0.0012244976,0.001979441,0.0027185157,0.0037370238,0.0044927266,0.005335478,0.0060480083,0.007053828,0.008526226,0.01006644,0.011932752,0.0132447425,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Erika_I Don't Know_Electronica_Dance_2004.mp3
513,[129.19921875],1.133823275566101,0.08906635758087923,6996.5044579255455,3354.7787467059948,3387.3862844702585,0.4245442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Flo Rida_Club Can't Handle Me_Electronica_Dance_2010.mp3
545,[139.67483108],2.882359266281128,0.05511857704553071,5473.05940288442,2502.1852133848815,2864.1208506401026,0.4247243,0.0,0.0,0.0,0.0,1.2330409e-14,1.4696976e-11,2.0493816e-09,3.087099e-07,8.3765974e-07,2.8813595e-06,2.0794045e-05,0.0004049731,0.0005439748,0.0007098343,0.00085340225,0.0010122684,0.0010746042,0.0010675119,0.0011105582,0.0009658834,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Gigi D'agostino_L'amour toujour_Electronica_Dance_2001.mp3
493,[139.67483108],3.7963788509368896,0.05839108816935442,6551.428357049058,2979.100535766946,3390.0610692746873,0.40989912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Lasgo_I Wonder_Electronica_Dance_2001.mp3
508,[139.67483108],0.7950863838195801,0.060063598587665766,6489.133780239539,3040.1423992688956,3423.865655384694,0.4749552,1.7761177e-10,1.7503443e-06,0.0004430611,0.0007282679,0.0008787146,0.0010229667,0.0009874357,0.0010972103,0.0010667124,0.001064049,0.0012594198,0.0011026572,0.0011424974,0.0010947172,0.0010303857,0.0010313808,0.0010540396,0.0010940254,0.0009276718,0.0010464008,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Lasgo_Something_Electronica_Dance_2001.mp3
790,[139.67483108],5.9647979736328125,0.08577509101097297,8245.38755341261,3747.7587866870695,3917.742503926031,0.5271235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Rimini Project_Sounds Good_Electronica_Dance_2001.mp3
