beats,tempo,mfcc,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,chroma_stft,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_10,rmse_11,rmse_12,rmse_13,rmse_14,rmse_15,rmse_16,rmse_17,rmse_18,rmse_19,rmse_20,file
287,[103.359375],7.41405725479126,0.06920461183901344,5458.417373144103,2782.4441679751344,2958.482364601678,0.55621856,1.5607411e-13,1.5306626e-06,0.00037338035,0.0008532306,0.002329161,0.0060573677,0.009888488,0.0110532725,0.01576962,0.026716858,0.036311273,0.04837784,0.05652967,0.06098696,0.061625592,0.05836233,0.05591308,0.052699067,0.052933306,0.052752424,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Rock en Español/Reincidentes_Vicio_Rock_Rock_en Español_1994.mp3
918,[143.5546875],1.3505985736846924,0.07322962851327526,6491.287354882934,3195.2629952504885,3304.6450009302253,0.5886106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Dj-Napo_El-ritmo-ms_Electronica_Techno_1999.mp3
918,[139.67483108],0.33161479234695435,0.06697735798546195,7425.992813108222,3544.000786119461,3680.9235105418056,0.6799916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.983403e-13,3.892706e-11,2.295975e-07,0.0002611956,0.00029823623,0.00030401972,0.0003469481,0.00030371366,0.00038519272,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Abel-The-Kid-y-Raul-Ortiz_Electrication_Electronica_Techno_2002.mp3
961,[139.67483108],5.47695779800415,0.026301057683563254,5245.070596038419,2266.3186736286,3048.2922455357793,0.6775567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.627102e-07,0.0049218605,0.03140798,0.04606642,0.11281212,0.11660073,0.14468424,0.16261885,0.1793233,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Abel-the-Kid-y-Raul-Ortiz_Baila_Electronica_Techno_2004.mp3
1111,[139.67483108],4.739414215087891,0.04177720797100802,5284.012634002705,2370.7548054045956,2871.841016318141,0.6231673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5840465e-15,8.246377e-09,5.340487e-08,8.904083e-06,0.00013779369,0.003364188,0.014327727,0.03853085,0.052192412,0.05331214,0.05505497,0.060160965,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Alex-Trackone-y-Dj-Napo_La-nube_Electronica_Techno_2000.mp3
865,[139.67483108],6.518306255340576,0.11658355698812087,8934.48524959634,4454.064875530782,3817.4106172745924,0.701299,0.0,0.0,4.2621355e-19,9.508387e-15,1.2894196e-08,0.00010292503,0.13747922,0.1933664,0.27470216,0.30447832,0.28104305,0.26907316,0.19735292,0.1554225,0.14301515,0.09854513,0.08196819,0.07513717,0.06916903,0.069071785,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Alex-Trackone_Genetiko_Electronica_Techno_2006.mp3
1019,[139.67483108],4.382026672363281,0.08449676309336164,8562.778671292874,3962.8271937909913,3903.0174637114806,0.6683287,0.0,0.0,1.135351e-13,6.6808486e-12,1.1615424e-09,8.884165e-08,3.4831336e-07,4.4172984e-06,4.4124172e-05,0.00019838985,0.048390757,0.10792454,0.12336244,0.13812022,0.15391295,0.14538997,0.18764658,0.24588291,0.248164,0.24901912,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Alex-Trackone-ala-Lawrence-Lock_Technobase_Electronica_Techno_2004.mp3
640,[135.99917763],6.911355972290039,0.0810462532891501,6067.773654599277,3059.1142153246615,2943.9187821613177,0.68922716,8.950138e-09,9.174609e-06,0.005251372,0.005455645,0.01324252,0.021923544,0.03278872,0.035879303,0.034283087,0.031829286,0.02823752,0.032357108,0.032760527,0.031285882,0.027603148,0.02043854,0.020746185,0.02177743,0.018557344,0.03178857,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Ben-Sims_Remanipulator_Electronica_Techno_1998.mp3
800,[139.67483108],8.645256042480469,0.060246342168987825,8029.235487342105,3470.926014628333,3907.2390878384767,0.5890338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Cisco-Ferreira-aka-The-Advent_Kurva_Electronica_Techno_2005.mp3
954,[143.5546875],5.153558731079102,0.05506383200345109,7533.821512709798,3244.270764274474,3841.6335653635033,0.6586342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.159909e-14,1.4848418e-10,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Danili-Di-Corto_Time-of-passion_Electronica_Techno_2007.mp3
