artist,song,genre,subgenre,year
Alice Deejay,Better Off Alone,Electronica,Dance,2000
Calvin Harris y Ellie Goulding,Miracle,Electronica,Dance,2023
David Guetta y Anne,Baby Don’t Hurt Me,Electronica,Dance,2023
Edward Maya & Vika Jigulina,Stereo Love,Electronica,Dance,2009
Erika,I Don't Know,Electronica,Dance,2004
Flo Rida,Club Can't Handle Me,Electronica,Dance,2010
Gigi D'agostino,L'amour toujour,Electronica,Dance,2001
Lasgo,I Wonder,Electronica,Dance,2001
Lasgo,Something,Electronica,Dance,2001
Rimini Project,Sounds Good,Electronica,Dance,2001
Sash! feat Tina Cousins,Mysterious Times,Electronica,Dance,2012
Snap!,Rhythm is a Dancer,Electronica,Dance,1992
Sylver,Skin,Electronica,Dance,2001
Sylver,Skin,Electronica,Dance,2024
Sylver,Turn the tide,Electronica,Dance,2001
Yolanda Be Cool & DCUP,We No Speak Americano,Electronica,Dance,2010
Grauzone,Eisbaer,Rock,New Wave,1980
Human Tetris,Things I don't need,Rock,New Wave,2010
Las Eras,Virginia,Rock,New Wave,2024
Lebanon Hanover,Gallowdance,Rock,New Wave,2013
Linea Aspera,Malarone,Rock,New Wave,2012
Pleasure Symbols,Control,Rock,New Wave,2016
Psyche,Goodbye Horses,Rock,New Wave,1996
Rue Oberkampf,Hope and Fear,Rock,New Wave,2022
Sad lovers and Giants,Things we never did,Rock,New Wave,1982
Ultra Sun,Distress,Rock,New Wave,2024
Boy Harsher,Machina,Rock,New Wave,2022
Killing Joke,Love Like Blood ,Rock,Dark Wave,1985
VVV Trippin You,Nunca Estuvimos Tan Lejos,Rock,New Wave,2019
Silent EM,Wraith, Rock,New Wave,2013
VVV Trippin You,Amianto,Rock,New Wave,2021
VVV Trippin You,Invierno nuclear,Rock,New Wave,2020
VVV Trippin You,Lluvias de Marzo,Rock,New Wave,2021
VVV Trippin You,Matar el Tiempo,Rock,New Wave,2021
VVV Trippin You,Monstruo,Rock,New Wave,2021
Zanias,Unraveled,Rock,New Wave,2021
Zanias,Follow the Body,Rock,New Wave,2016
