artist,song,genre,subgenre,year,beats,tempo,mfcc,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,chroma_stft,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_10,rmse_11,rmse_12,rmse_13,rmse_14,rmse_15,rmse_16,rmse_17,rmse_18,rmse_19,rmse_20,file
Alice Deejay,Better Off Alone,Electronica,Dance,2000,381,135.99917763,3.4030802249908447,0.1017899155593043,9249.56819539488,4350.674714671837,4103.266703680121,0.46433225,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Alice Deejay_Better Off Alone_Electronica_Dance_2000.mp3
Calvin Harris y Ellie Goulding,Miracle,Electronica,Dance,2023,433,143.5546875,4.800572872161865,0.0615582032474146,6829.635626811736,3083.965694346719,3522.0630405167644,0.45103738,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000019,0.00001426,0.00612890,0.06805514,0.16480644,0.21269843,0.24585794,0.26138806,0.24150927,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Calvin Harris y Ellie Goulding_Miracle_Electronica_Dance_2023.mp3
David Guetta y Anne,Baby Don’t Hurt Me,Electronica,Dance,2023,351,129.19921875,8.427510261535645,0.0591458887693522,6718.444180172896,2997.476857011518,3285.6726824402976,0.47865146,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00007481,0.03187384,0.13298678,0.22064228,0.30073288,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/David Guetta y Anne_Baby Don’t Hurt Me_Electronica_Dance_2023.mp3
Edward Maya & Vika Jigulina,Stereo Love,Electronica,Dance,2009,382,126.04801829,4.400158405303955,0.0701704821012872,7335.060037999818,3307.037192302404,3484.2362688522776,0.44020632,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Edward Maya & Vika Jigulina_Stereo Love_Electronica_Dance_2009.mp3
Erika,I Don't Know,Electronica,Dance,2004,412,129.19921875,6.315406799316406,0.0390446328786488,6101.4788136416455,2644.8649956930826,3517.9029266447887,0.5307436,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00021759,0.00031921,0.00065973,0.00122450,0.00197944,0.00271852,0.00373702,0.00449273,0.00533548,0.00604801,0.00705383,0.00852623,0.01006644,0.01193275,0.01324474,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Erika_I Don't Know_Electronica_Dance_2004.mp3
Flo Rida,Club Can't Handle Me,Electronica,Dance,2010,513,129.19921875,1.133823275566101,0.0890663575808792,6996.5044579255455,3354.7787467059948,3387.3862844702585,0.4245442,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Flo Rida_Club Can't Handle Me_Electronica_Dance_2010.mp3
Gigi D'agostino,L'amour toujour,Electronica,Dance,2001,545,139.67483108,2.882359266281128,0.0551185770455307,5473.05940288442,2502.185213384881,2864.1208506401026,0.4247243,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000031,0.00000084,0.00000288,0.00002079,0.00040497,0.00054397,0.00070983,0.00085340,0.00101227,0.00107460,0.00106751,0.00111056,0.00096588,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Gigi D'agostino_L'amour toujour_Electronica_Dance_2001.mp3
Lasgo,I Wonder,Electronica,Dance,2001,493,139.67483108,3.7963788509368896,0.0583910881693544,6551.428357049058,2979.100535766946,3390.061069274688,0.40989912,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Lasgo_I Wonder_Electronica_Dance_2001.mp3
Lasgo,Something,Electronica,Dance,2001,508,139.67483108,0.7950863838195801,0.0600635985876657,6489.133780239539,3040.142399268896,3423.865655384694,0.4749552,0.00000000,0.00000175,0.00044306,0.00072827,0.00087871,0.00102297,0.00098744,0.00109721,0.00106671,0.00106405,0.00125942,0.00110266,0.00114250,0.00109472,0.00103039,0.00103138,0.00105404,0.00109403,0.00092767,0.00104640,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Lasgo_Something_Electronica_Dance_2001.mp3
Rimini Project,Sounds Good,Electronica,Dance,2001,790,139.67483108,5.9647979736328125,0.0857750910109729,8245.38755341261,3747.7587866870695,3917.742503926031,0.5271235,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Dance/Rimini Project_Sounds Good_Electronica_Dance_2001.mp3
